State	Time (s)	Phi (rad)	Del (rad)	dPhi (rad/s)	dDel (rad/s)	v_r (m/s)	v (m/s)	u (Nm)	T (Nm)	Heading (rad)	dHeading (rad/s)	Phi_y (rad)	Del_y (rad)	dPhi_y (rad/s)	dDel_y (rad/s)
3	96.008	-0.0068	0.0155	0.001	0	4	0	0	0	-0.1595	-0.0013	-0.0162	0.0155	0.0009	0
3	96.029	-0.011	0.0209	-0.0401	0.1361	4	1.3683	0	-1.5895	-0.1616	0.02	-0.0147	0.0209	-0.041	0.1361
3	96.049	-0.0137	0.0182	-0.0095	-0.0576	4	1.3598	0	-2.4329	-0.1612	0.0272	-0.1256	0.0182	-0.011	-0.0576
3	96.07	-0.0153	0.0188	0.0206	0.0145	4	1.3512	0	-1.2976	-0.1603	0.0366	-0.1511	0.0188	0.0202	0.0145
3	96.092	-0.0155	0.0191	0.0153	0.0145	4	1.3512	0	-0.811	-0.1597	0.0327	0.1047	0.0191	0.0137	0.0145
3	96.112	-0.0152	0.0185	-0.0029	-0.0176	4	1.3683	0	-0.6488	-0.1588	0.0585	0.0386	0.0185	-0.0039	-0.0176
3	96.133	-0.0153	0.017	0.0669	-0.0524	4	1.4111	0	-0.5839	-0.1577	0.0285	-0.118	0.017	0.0695	-0.0524
3	96.154	-0.0132	0.0164	0.0018	-0.0185	4	1.4197	0	-0.9083	-0.1569	0.0623	0.0794	0.0164	-0.0034	-0.0185
3	96.175	-0.0155	0.0164	0.0104	-0.0052	4	1.4966	0	-0.9732	-0.1563	0.0088	-0.2031	0.0164	0.0075	-0.0052
3	96.196	-0.0166	0.017	0.0279	0.0127	4	1.5565	0	-1.1354	-0.1558	0.0105	0.0007	0.017	0.0297	0.0127
3	96.216	-0.014	0.017	0.0546	0.0103	4	1.5308	0	-1.0056	-0.155	0.048	0.1167	0.017	0.0588	0.0103
3	96.237	-0.0132	0.017	0.0485	0.0048	4	1.6335	0	-1.0381	-0.1538	0.0616	0.1246	0.017	0.0461	0.0048
3	96.259	-0.0122	0.017	-0.0083	-0.0045	4	1.7019	0	-0.9407	-0.1513	0.1162	-0.2429	0.017	-0.0061	-0.0045
3	96.279	-0.0114	0.017	-0.013	-0.007	4	1.7019	0	-0.9407	-0.1495	0.1172	0.2508	0.017	-0.0152	-0.007
3	96.3	-0.0107	0.017	-0.0004	0.0076	4	1.7532	0	-1.2976	-0.1479	0.034	-0.0382	0.017	-0.0024	0.0076
3	96.32	-0.0115	0.0179	-0.0655	0.0345	4	1.8216	0	-1.5895	-0.1465	0.0509	-0.4289	0.0179	-0.0676	0.0345
3	96.343	-0.0114	0.0197	-0.0571	0.0724	4	1.9157	0	-1.7517	-0.1456	0.0756	0.0641	0.0197	-0.0551	0.0724
3	96.363	-0.0116	0.0215	0.0482	0.0742	4	1.9499	0	-1.4922	-0.1451	-0.0416	-0.2454	0.0215	0.0512	0.0742
3	96.384	-0.0103	0.0218	0.0113	0.0348	4	1.9499	0	-1.5246	-0.1454	0.0055	0.14	0.0218	0.0101	0.0348
3	96.404	-0.009	0.0212	-0.0003	0.0109	4	2.1038	0	-1.2651	-0.1446	0.0671	0.14	0.0212	0.0047	0.0109
3	96.426	-0.0079	0.0188	0.0369	-0.103	4	2.0696	0	-0.5839	-0.1433	0.1021	0.0608	0.0188	0.0407	-0.103
3	96.446	-0.0078	0.0148	0.104	-0.1606	4	2.138	0	-0.3244	-0.1415	0.0269	-0.0999	0.0148	0.1062	-0.1606
3	96.467	-0.0053	0.0133	0.0322	-0.0979	4	2.1808	0	-0.9083	-0.1404	0.0888	0.2521	0.0133	0.0305	-0.0979
3	96.488	-0.0042	0.0124	0.0361	-0.0542	4	2.1893	0	-0.9732	-0.1384	0.0923	0.1525	0.0124	0.0388	-0.0542
3	96.581	-0.0028	0.0121	0.0258	-0.03	4	2.2235	0	-1.1029	-0.1361	0.0999	0.0462	0.0121	0.0228	-0.03
3	96.601	-0.001	0.0197	0.015	0.08	4	2.3518	0	-2.0761	-0.1304	0.0759	-0.3354	0.0197	0.0154	0.08
3	96.622	-0.0012	0.0209	-0.0112	0.0515	4	2.4117	0	-1.5246	-0.1285	0.1078	-0.086	0.0209	-0.0112	0.0515
3	96.643	-0.0022	0.02	-0.0144	-0.0239	4	2.386	0	-1.1029	-0.1262	0.0987	-0.1984	0.02	-0.009	-0.0239
3	96.665	-0.0016	0.0164	0.0298	-0.1033	4	2.4716	0	-0.9083	-0.1245	0.0906	0.0311	0.0164	0.0303	-0.1033
3	96.686	-0.001	0.0148	-0.0249	-0.0824	4	2.463	0	-1.1354	-0.1225	0.1042	-0.1787	0.0148	-0.0365	-0.0824
3	96.706	-0.0027	0.0145	0.0303	-0.0282	4	2.54	0	-1.4922	-0.1204	0.0604	-0.1623	0.0145	0.0301	-0.0282
3	96.726	-0.0011	0.0145	0.1422	-0.0142	4	2.5656	0	-1.4922	-0.1198	0.0402	0.1653	0.0145	0.1329	-0.0142
3	96.748	0.0006	0.0148	-0.0042	0.0055	4	2.5913	0	-1.5895	-0.1186	0.0896	0.2085	0.0148	-0.0107	0.0055
3	96.769	-0.0011	0.0142	0.0037	-0.0188	4	2.6341	0	-1.2651	-0.1166	0.0694	-0.0011	0.0142	0.0144	-0.0188
3	96.789	-0.0008	0.0136	-0.0102	-0.0239	4	2.6341	0	-1.5246	-0.115	0.1024	-0.0011	0.0136	-0.021	-0.0239
3	96.81	-0.0013	0.0145	-0.006	0.0252	4	2.6768	0	-1.7193	-0.113	0.0889	-0.1105	0.0145	-0.0081	0.0252
3	96.832	-0.002	0.0145	-0.0095	0.0045	4	2.7281	0	-1.5895	-0.1112	0.0511	0.0229	0.0145	-0.0044	0.0045
3	96.853	-0.0017	0.0152	0.0169	0.0276	4	2.7709	0	-1.849	-0.1098	0.1055	0.1807	0.0152	0.0215	0.0276
3	96.874	-0.0029	0.0155	-0.0567	0.0164	4	2.7623	0	-1.6544	-0.107	0.1542	0.0131	0.0155	-0.0536	0.0164
3	96.894	-0.0029	0.0155	0.039	0.0048	4	2.788	0	-1.6868	-0.1055	0.0241	0.0131	0.0155	0.04	0.0048
3	96.916	-0.0027	0.0161	-0.0513	0.0188	4	2.7794	0	-1.7842	-0.1041	0.0545	-0.1326	0.0161	-0.0551	0.0188
3	96.937	-0.0038	0.0161	-0.0419	-0.0055	4	2.8564	0	-1.5571	-0.1024	0.0983	0.0348	0.0161	-0.0397	-0.0055
3	96.957	-0.0036	0.0152	0.0305	-0.017	4	2.8393	0	-1.7517	-0.101	0.0632	0.0348	0.0152	0.0334	-0.017
3	96.978	-0.0025	0.0152	-0.008	-0.0245	4	2.8992	0	-1.4598	-0.0992	0.1073	-0.0465	0.0152	-0.0081	-0.0245
3	97	-0.003	0.0124	0.0016	-0.0761	4	2.8906	0	-1.2651	-0.0976	0.0527	-0.0298	0.0124	0.0079	-0.0761
3	97.021	-0.0032	0.0121	-0.0057	-0.0379	4	2.959	0	-1.622	-0.0964	0.0853	0.0955	0.0121	0.001	-0.0379
3	97.041	-0.0036	0.0112	-0.0127	-0.043	4	2.9334	0	-1.3949	-0.0947	0.0626	-0.1953	0.0112	-0.0101	-0.043
3	97.061	-0.004	0.0112	0.0238	-0.0224	4	2.9419	0	-1.6868	-0.0937	0.0705	-0.1953	0.0112	0.0179	-0.0224
3	97.152	-0.003	0.0112	-0.0228	-0.0033	4	2.9761	0	-1.7193	-0.0921	0.097	0.2248	0.0112	-0.0274	-0.0033
3	97.172	-0.0046	0.0112	0.0337	-0.0015	4	3.0959	0	-1.7842	-0.0841	0.0532	0.0196	0.0112	0.0331	-0.0015
3	97.193	-0.0046	0.0112	-0.013	-0.0006	4	3.113	0	-1.7842	-0.0818	0.1071	0.2611	0.0112	-0.0036	-0.0006
3	97.214	-0.0043	0.0109	0.0199	-0.0148	4	3.1557	0	-1.7517	-0.0806	0.0595	0.0771	0.0109	0.0203	-0.0148
3	97.236	-0.0047	0.0112	-0.0448	0.0052	4	3.1557	0	-1.8166	-0.0791	0.0896	-0.0393	0.0112	-0.0455	0.0052
3	97.256	-0.0053	0.0109	-0.0124	-0.0003	4	3.2241	0	-1.6544	-0.0774	0.0658	0.0062	0.0109	-0.017	-0.0003
3	97.277	-0.0052	0.0109	0.0133	-0.0076	4	3.2669	0	-1.8815	-0.0756	0.0974	0.0665	0.0109	0.0099	-0.0076
3	97.298	-0.0049	0.0109	0.0143	-0.003	4	3.207	0	-1.7517	-0.074	0.0655	0.1321	0.0109	0.0159	-0.003
3	97.32	-0.0052	0.0109	-0.0165	0.0009	4	3.2926	0	-1.9464	-0.0722	0.0766	0.2982	0.0109	-0.012	0.0009
3	97.341	-0.0055	0.0109	-0.029	0.0003	4	3.3011	0	-1.9139	-0.0702	0.1137	0.0989	0.0109	-0.0239	0.0003
3	97.361	-0.0051	0.0109	0.012	-0.0027	4	3.3268	0	-1.9139	-0.0688	0.0585	0.3443	0.0109	0.0031	-0.0027
3	97.382	-0.0056	0.0112	-0.0661	0.013	4	3.361	0	-1.9464	-0.067	0.1073	-0.5008	0.0112	-0.0711	0.013
3	97.403	-0.0079	0.0109	-0.0207	-0.0106	4	3.3353	0	-1.9139	-0.0651	0.0716	-0.4921	0.0109	-0.0223	-0.0106
3	97.424	-0.0094	0.0109	-0.0144	-0.0036	4	3.3866	0	-2.0112	-0.0633	0.0868	0.0188	0.0109	-0.0144	-0.0036
3	97.445	-0.01	0.0106	-0.0266	-0.0097	4	3.4294	0	-1.7842	-0.0615	0.0575	-0.2896	0.0106	-0.0338	-0.0097
3	97.466	-0.0105	0.0103	-0.0638	-0.0148	4	3.4123	0	-1.9464	-0.0603	0.087	0.3422	0.0103	-0.0681	-0.0148
3	97.488	-0.0108	0.01	0.0528	-0.0118	4	3.4294	0	-1.9139	-0.0587	0.0459	-0.2647	0.01	0.0625	-0.0118
3	97.508	-0.0105	0.01	-0.0183	-0.0124	4	3.4465	0	-1.8815	-0.0577	0.0548	-0.0742	0.01	-0.0222	-0.0124
3	97.529	-0.0113	0.0091	-0.0425	-0.0376	4	3.4722	0	-1.3625	-0.0552	0.1435	0.0627	0.0091	-0.0392	-0.0376
3	97.549	-0.0119	0.0061	0.088	-0.1148	4	3.5064	0	-1.4273	-0.0539	0.0114	-0.257	0.0061	0.1049	-0.1148
3	97.571	-0.0106	0.0058	0.0329	-0.0379	4	3.4807	0	-1.7517	-0.0525	0.0585	0.0667	0.0058	0.0301	-0.0379
3	97.591	-0.0101	0.0048	-0.0006	-0.053	4	3.5149	0	-1.4922	-0.0513	0.0965	-0.1438	0.0048	-0.0018	-0.053
3	97.611	-0.01	0.0036	0.0371	-0.0588	4	3.5406	0	-1.5895	-0.049	0.0933	0.0201	0.0036	0.0506	-0.0588
3	97.631	-0.0079	0.003	0.0791	-0.04	4	3.5149	0	-1.4922	-0.0479	0.046	0.0201	0.003	0.0717	-0.04
3	97.725	-0.0077	0.003	-0.0817	-0.0112	4	3.532	0	-1.7517	-0.0462	0.0885	-0.0339	0.003	-0.0839	-0.0112
3	97.745	-0.0133	0.0039	-0.0166	0.0064	4	3.6346	0	-1.8166	-0.0393	0.0532	0.0196	0.0039	-0.0079	0.0064
3	97.765	-0.0126	0.0039	0.0196	-0.0045	4	3.5919	0	-1.7842	-0.0384	0.0643	0.0196	0.0039	0.0183	-0.0045
3	97.787	-0.0133	0.0039	-0.0564	-0.0021	4	3.6261	0	-1.8166	-0.0371	0.0457	0.2266	0.0039	-0.0564	-0.0021
3	97.809	-0.0142	0.0024	-0.0439	-0.0591	4	3.6518	0	-1.2327	-0.0355	0.0677	-0.078	0.0024	-0.038	-0.0591
3	97.83	-0.0144	0.0018	0.0093	-0.0264	4	3.6346	0	-1.849	-0.0351	0.0425	-0.1667	0.0018	0.0025	-0.0264
3	97.851	-0.0145	0.0015	0	-0.03	4	3.6346	0	-1.2976	-0.0336	0.0697	-0.1899	0.0015	0.0024	-0.03
3	97.871	-0.0152	0	-0.0252	-0.0509	4	3.6603	0	-1.5895	-0.0324	0.0618	-0.1899	0	-0.0269	-0.0509
3	97.892	-0.0153	-0.0003	0.0551	-0.0297	4	3.6603	0	-1.4273	-0.0316	0.0388	-0.1899	-0.0003	0.054	-0.0297
3	97.913	-0.0161	-0.0009	-0.0288	-0.027	4	3.6518	0	-1.622	-0.0306	0.0332	0.3833	-0.0009	-0.0264	-0.027
3	97.934	-0.0169	-0.0012	-0.0088	-0.0109	4	3.6432	0	-1.5895	-0.0293	0.0541	0.0818	-0.0012	-0.0068	-0.0109
3	97.955	-0.0169	-0.0021	0.0634	-0.0455	4	3.6518	0	-1.6868	-0.0284	0.0227	-0.6702	-0.0021	0.0666	-0.0455
