State	Time (s)	Phi (rad)	Del (rad)	dPhi (rad/s)	dDel (rad/s)	v_r (m/s)	v (m/s)	u (Nm)	T (Nm)	Heading (rad)	dHeading (rad/s)	Phi_y (rad)	Del_y (rad)	dPhi_y (rad/s)	dDel_y (rad/s)
3	62.008	0.0001	0	-0.0012	0	5	0	0	0	-0.1447	-0.0022	0.0094	0	-0.0011	0
3	62.028	0.0033	0.0097	-0.0224	0.1379	5	1.2572	0	-1.2003	-0.1304	0.052	0.0373	0.0097	-0.0244	0.1379
3	62.048	0.003	0.0118	-0.0004	0.1006	5	1.3427	0	-0.8759	-0.1296	0.0371	0.1657	0.0118	0.0066	0.1006
3	62.069	0.0028	0.013	-0.0229	0.0591	5	1.3683	0	-0.811	-0.1285	0.0598	-0.088	0.013	-0.021	0.0591
3	62.09	0.0027	0.0139	0.0075	0.0545	5	1.4453	0	-0.811	-0.1271	0.0613	-0.2712	0.0139	0.0114	0.0545
3	62.111	0.0031	0.0145	0.0102	0.0285	5	1.5308	0	-0.6812	-0.1258	0.0763	-0.0427	0.0145	0.0075	0.0285
3	62.131	0.0032	0.0145	-0.0116	0.0094	5	1.5308	0	-0.6163	-0.1242	0.0923	-0.089	0.0145	-0.0114	0.0094
3	62.151	0.0034	0.0142	0.0355	-0.0161	5	1.6249	0	-0.5839	-0.1224	0.0595	-0.2162	0.0142	0.0387	-0.0161
3	62.173	0.0042	0.0139	0.0039	-0.0097	5	1.7275	0	-0.7137	-0.1212	0.0728	-0.0215	0.0139	-0.002	-0.0097
3	62.193	0.0043	0.0139	0.0114	-0.0027	5	1.7104	0	-0.7461	-0.1197	0.073	0.182	0.0139	0.0108	-0.0027
3	62.213	0.0046	0.0139	0.0225	-0.0042	5	1.7703	0	-0.7461	-0.1181	0.0827	0.0029	0.0139	0.0242	-0.0042
3	62.233	0.005	0.0139	0.0097	-0.0024	5	1.8045	0	-0.7785	-0.1162	0.1042	-0.162	0.0139	0.0089	-0.0024
3	62.254	0.005	0.0136	0.0084	-0.003	5	1.8986	0	-0.7785	-0.1141	0.0807	-0.0739	0.0136	0.0086	-0.003
3	62.275	0.005	0.0142	0.0063	0.0124	5	1.9584	0	-1.0381	-0.1124	0.0739	-0.1712	0.0142	0.0058	0.0124
3	62.295	0.0053	0.0152	0.008	0.0336	5	1.9328	0	-1.1678	-0.1106	0.1202	0.1341	0.0152	0.0095	0.0336
3	62.316	0.0057	0.0152	0.0293	0.0167	5	2.0525	0	-0.9083	-0.1085	0.0854	-0.0177	0.0152	0.0289	0.0167
3	62.337	0.0062	0.0152	0.0239	0.0048	5	2.0953	0	-0.9407	-0.1063	0.1035	-0.245	0.0152	0.0319	0.0048
3	62.357	0.0068	0.0152	0.0152	0.0015	5	2.1295	0	-0.9732	-0.1048	0.0683	0.0889	0.0152	0.0124	0.0015
3	62.377	0.0067	0.0152	-0.0051	-0.0082	5	2.1722	0	-0.9083	-0.1029	0.1024	0.0368	0.0152	-0.0061	-0.0082
3	62.397	0.0079	0.0142	0.0688	-0.0197	5	2.2321	0	-0.7461	-0.1013	0.0765	-0.0292	0.0142	0.0656	-0.0197
3	62.419	0.0096	0.0136	0.0661	-0.0285	5	2.2578	0	-0.811	-0.0992	0.106	-0.1186	0.0136	0.0655	-0.0285
3	62.439	0.0104	0.0127	0.0122	-0.0582	5	2.3347	0	-0.4217	-0.0968	0.1264	0.0747	0.0127	0.0105	-0.0582
3	62.459	0.0105	0.0112	-0.0012	-0.0533	5	2.3946	0	-0.8759	-0.0946	0.0945	0.0986	0.0112	-0.0074	-0.0533
3	62.479	0.0106	0.0112	0.0314	-0.0085	5	2.4117	0	-1.0705	-0.0928	0.0779	0.091	0.0112	0.0346	-0.0085
3	62.501	0.0113	0.0115	0.0228	0.0082	5	2.4972	0	-1.0381	-0.0913	0.0871	0.0386	0.0115	0.0152	0.0082
3	62.579	0.0113	0.0118	-0.0063	0.0161	5	2.4459	0	-1.0381	-0.0905	0.1223	0.4565	0.0118	-0.0123	0.0161
3	62.599	0.0115	0.0121	0.0107	-0.0009	5	2.6683	0	-0.9083	-0.0808	0.1109	0.1381	0.0121	0.0094	-0.0009
3	62.619	0.0119	0.0121	-0.0077	-0.0118	5	2.6512	0	-1.0056	-0.0781	0.1571	-0.1923	0.0121	-0.0084	-0.0118
3	62.64	0.0121	0.0115	0.0123	-0.0291	5	2.7623	0	-0.7137	-0.0749	0.1574	0.0263	0.0115	0.011	-0.0291
3	62.661	0.0126	0.0106	0.0074	-0.0261	5	2.7281	0	-1.0056	-0.0727	0.0701	0.3876	0.0106	0.004	-0.0261
3	62.681	0.0121	0.0106	-0.0625	-0.0055	5	2.8564	0	-1.0705	-0.0708	0.1058	-0.5409	0.0106	-0.0585	-0.0055
3	62.701	0.0105	0.0109	-0.08	-0.0006	5	2.8393	0	-1.0705	-0.0689	0.093	0.2356	0.0109	-0.0732	-0.0006
3	62.723	0.0099	0.0109	0.0213	0.0088	5	2.9505	0	-1.0705	-0.0665	0.1049	0.0803	0.0109	0.024	0.0088
3	62.744	0.0107	0.0112	0.0085	0.0091	5	2.9334	0	-1.1029	-0.0644	0.0992	0.0803	0.0112	0.001	0.0091
3	62.765	0.0105	0.0112	-0.0406	0.0027	5	2.9932	0	-1.1354	-0.0626	0.1018	0.0903	0.0112	-0.0458	0.0027
3	62.785	0.009	0.0106	-0.0753	-0.0145	5	3.0274	0	-0.9407	-0.0599	0.1442	0.165	0.0106	-0.0702	-0.0145
3	62.807	0.0078	0.0103	-0.0032	-0.0167	5	3.0873	0	-1.1029	-0.0569	0.1352	0.0223	0.0103	0.0003	-0.0167
3	62.827	0.0085	0.01	0.0421	-0.0158	5	3.1044	0	-1.0705	-0.055	0.0863	0.0413	0.01	0.0425	-0.0158
3	62.847	0.0082	0.01	-0.0565	-0.0067	5	3.1899	0	-0.9407	-0.0524	0.158	-0.1272	0.01	-0.0581	-0.0067
3	62.867	0.0075	0.0088	-0.0079	-0.0355	5	3.1985	0	-0.7461	-0.0498	0.0953	-0.2458	0.0088	-0.0015	-0.0355
3	62.889	0.0077	0.0088	0.012	-0.007	5	3.2669	0	-1.1029	-0.048	0.0806	-0.2457	0.0088	0.0117	-0.007
3	62.91	0.0075	0.0088	-0.0378	-0.003	5	3.3182	0	-1.1029	-0.0462	0.0967	0.2829	0.0088	-0.0429	-0.003
3	62.93	0.0067	0.0088	-0.0372	-0.0042	5	3.284	0	-1.0381	-0.0439	0.115	-0.0207	0.0088	-0.036	-0.0042
3	62.95	0.0061	0.0085	-0.0099	-0.0097	5	3.3952	0	-1.0056	-0.0413	0.1458	-0.0433	0.0085	-0.0025	-0.0097
3	62.972	0.0062	0.0079	0.0439	-0.0191	5	3.3781	0	-1.0056	-0.039	0.0883	0.0218	0.0079	0.0459	-0.0191
3	62.992	0.0063	0.0079	-0.0266	-0.0076	5	3.3952	0	-1.0381	-0.0363	0.1508	-0.0505	0.0079	-0.026	-0.0076
3	63.012	0.0056	0.0073	0.0004	-0.0252	5	3.4807	0	-0.9083	-0.0335	0.1384	0.1303	0.0073	0.0027	-0.0252
3	63.032	0.0058	0.0067	0.0127	-0.0352	5	3.4893	0	-0.9083	-0.0314	0.1086	0.2773	0.0067	0.0135	-0.0352
3	63.054	0.0056	0.0064	-0.0205	-0.0115	5	3.5149	0	-0.9407	-0.0286	0.1302	0.0809	0.0064	-0.0281	-0.0115
3	63.074	0.0048	0.0058	-0.0561	-0.0306	5	3.5406	0	-1.0056	-0.0259	0.1533	-0.2109	0.0058	-0.052	-0.0306
3	63.15	0.0045	0.0058	-0.0871	-0.0209	5	3.5662	0	-1.0056	-0.0253	0.1423	-0.3172	0.0058	-0.0959	-0.0209
3	63.17	0.0012	0.0058	0.0284	-0.0115	5	3.6945	0	-1.1029	-0.0167	0.052	-0.1223	0.0058	0.0249	-0.0115
3	63.191	0.0009	0.0055	-0.0561	-0.0103	5	3.7287	0	-0.9732	-0.0144	0.1316	-0.0738	0.0055	-0.0623	-0.0103
3	63.212	-0.0004	0.0036	-0.0176	-0.0727	5	3.8228	0	-0.519	-0.0117	0.1195	0.2118	0.0036	-0.0071	-0.0727
3	63.232	0.0005	0.0018	0.0691	-0.0815	5	3.8399	0	-0.6488	-0.0099	0.0878	0.248	0.0018	0.0632	-0.0815
