State	Time (s)	Phi (rad)	Del (rad)	dPhi (rad/s)	dDel (rad/s)	v_r (m/s)	v (m/s)	u (Nm)	T (Nm)	Heading (rad)	dHeading (rad/s)	Phi_y (rad)	Del_y (rad)	dPhi_y (rad/s)	dDel_y (rad/s)	T New Gain (Nm)	U Theory Old
3	43.561	-0.0136	0	0.0015	0	5	0	0	0	-0.0334	-0.0011	-0.0029	0	0.0021	0		
3	43.572	0.0018	0.0061	0.0502	0.0673	5	1.2058	0	-0.7785	-0.0061	0.0691	0.0093	0.0061	0.0491	0.0673		
3	43.583	0.0018	0.007	0.0429	0.0912	5	1.2572	0	-0.9407	-0.0053	0.0731	-0.0248	0.007	0.0379	0.0912		
3	43.594	0.0011	0.0082	0.0355	0.1152	5	1.2572	0	-1.0381	-0.0046	0.0617	-0.1152	0.0082	0.0335	0.1152		
3	43.607	0.0004	0.0109	0.0451	0.1248	5	1.2743	0	-1.1678	-0.0038	0.0634	-0.012	0.0109	0.0463	0.1248		
3	43.618	-0.0007	0.0121	0.037	0.123	5	1.2999	0	-1.2651	-0.003	0.0717	-0.1211	0.0121	0.0367	0.123		
3	43.629	-0.0002	0.0136	0.0401	0.1294	5	1.3256	0	-1.4598	-0.0021	0.0851	0.0357	0.0136	0.0389	0.1294		
3	43.64	0	0.0152	0.0488	0.1421	5	1.4025	0	-1.1678	-0.001	0.0905	-0.056	0.0152	0.0487	0.1421		
3	43.653	0.0005	0.0158	0.0332	0.0748	5	1.394	0	-0.8759	0	0.0784	-0.014	0.0158	0.0356	0.0748		
3	43.665	0.0009	0.0161	0.0356	0.0609	5	1.4111	0	-1.0381	0.0009	0.0929	0.0754	0.0161	0.0387	0.0609		
3	43.676	0.0015	0.0173	0.0345	0.0624	5	1.4197	0	-1.1029	0.0021	0.0995	-0.024	0.0173	0.0353	0.0624		
3	43.688	0.0012	0.0179	0.0271	0.0648	5	1.4966	0	-1.1678	0.0031	0.0901	-0.0108	0.0179	0.0241	0.0648		
3	43.7	-0.0008	0.0185	0.03	0.063	5	1.5479	0	-1.2651	0.0043	0.0902	-0.245	0.0185	0.0282	0.063		
3	43.711	-0.0003	0.0191	0.0181	0.0627	5	1.6078	0	-1.2976	0.0054	0.1055	0.1177	0.0191	0.0162	0.0627		
3	43.722	-0.0007	0.0197	0.0211	0.0536	5	1.6249	0	-1.2327	0.0066	0.1078	-0.0312	0.0197	0.0205	0.0536		
3	43.734	0.0001	0.02	0.0222	0.0379	5	1.5907	0	-1.1354	0.0078	0.1103	0.1048	0.02	0.0238	0.0379		
3	43.746	0.0015	0.0203	0.0147	0.0248	5	1.6506	0	-1.1029	0.0092	0.1023	0.1048	0.0203	0.0152	0.0248		
3	43.757	0.0017	0.0203	0.0178	0.0212	5	1.6848	0	-1.0705	0.0103	0.0978	-0.1309	0.0203	0.0202	0.0212		
3	43.768	0.0029	0.0206	0.0149	0.0252	5	1.7532	0	-1.2327	0.0113	0.0971	0.0525	0.0206	0.0141	0.0252		
3	43.78	0.0042	0.0209	0.0069	0.0261	5	1.7788	0	-1.1678	0.0127	0.1154	0.1263	0.0209	0.0045	0.0261		
3	43.793	0.004	0.0209	0.0016	0.0124	5	1.8045	0	-1.1354	0.014	0.1076	-0.019	0.0209	0.0029	0.0124		
3	43.804	0.0036	0.0209	0.0158	0.0121	5	1.8387	0	-1.1678	0.0153	0.102	-0.0628	0.0209	0.0153	0.0121		
3	43.815	0.0031	0.0212	0.0046	0.0139	5	1.8815	0	-1.2003	0.0165	0.1181	-0.0628	0.0212	0.0036	0.0139		
3	43.826	0.0023	0.0212	-0.0158	0.01	5	1.8644	0	-1.1678	0.0179	0.119	-0.081	0.0212	-0.0188	0.01		
3	43.838	0.0027	0.0215	-0.0117	0.0076	5	1.8815	0	-1.2003	0.0191	0.1036	-0.0241	0.0215	-0.0128	0.0076		
3	43.849	0.0017	0.0215	-0.0209	0.0039	5	1.9755	0	-1.2327	0.0203	0.1145	-0.0021	0.0215	-0.0189	0.0039		
3	43.859	0.0011	0.0215	-0.0168	0.0021	5	2.0012	0	-1.2651	0.0214	0.116	-0.0749	0.0215	-0.0126	0.0021		
3	43.87	0.0003	0.0215	-0.0057	0.0012	5	2.0354	0	-1.2651	0.0226	0.0918	0.0835	0.0215	-0.0042	0.0012		
3	43.881	0.0005	0.0215	0.0049	0.0006	5	2.0525	0	-1.2976	0.0236	0.1008	0.0405	0.0215	0.0048	0.0006		
3	43.892	0.0008	0.0215	-0.0063	0.0003	5	2.0354	0	-1.2976	0.025	0.1358	-0.1545	0.0215	-0.0033	0.0003		
3	43.904	0.0005	0.0215	0.0003	0	5	2.1124	0	-1.33	0.0265	0.1278	-0.109	0.0215	-0.0022	0		
3	43.915	0.0004	0.0215	-0.0044	0	5	2.1551	0	-1.33	0.028	0.1213	-0.0688	0.0215	-0.0052	0		
3	43.927	0.0005	0.0212	-0.0056	-0.0018	5	2.1722	0	-1.2003	0.0296	0.1359	0.1107	0.0212	-0.0053	-0.0018		
3	43.939	0.0005	0.0212	-0.0128	-0.0036	5	2.2064	0	-1.2327	0.0312	0.1493	-0.0398	0.0212	-0.0156	-0.0036		
3	43.95	0.0001	0.0209	-0.0017	-0.0103	5	2.2321	0	-1.2003	0.0327	0.1145	-0.1124	0.0209	-0.0015	-0.0103		
3	43.961	0.0002	0.0209	-0.0114	-0.0106	5	2.2663	0	-1.2651	0.0339	0.119	0.079	0.0209	-0.0164	-0.0106		
3	43.974	0.0002	0.0209	-0.0546	-0.007	5	2.2578	0	-1.3949	0.0358	0.148	0.1498	0.0209	-0.0558	-0.007		
3	43.985	-0.0009	0.0209	-0.0293	-0.0082	5	2.3262	0	-1.33	0.0371	0.1102	-0.0319	0.0209	-0.0248	-0.0082		
3	43.996	-0.0005	0.0209	-0.0282	-0.0067	5	2.3518	0	-1.4273	0.0383	0.1234	0.2007	0.0209	-0.0241	-0.0067		
3	44.007	-0.0002	0.0209	-0.0413	-0.0036	5	2.3518	0	-1.4273	0.0398	0.1322	0	0.0209	-0.0389	-0.0036		
3	44.02	-0.0002	0.0209	-0.0207	-0.0018	5	2.3604	0	-1.4598	0.0414	0.1144	-0.0817	0.0209	-0.022	-0.0018		
3	44.031	-0.0001	0.0209	-0.0509	-0.0009	5	2.4202	0	-1.4598	0.0427	0.1322	0.3268	0.0209	-0.0581	-0.0009		
3	44.042	0.0011	0.0209	-0.0619	-0.0006	5	2.4801	0	-1.4922	0.0442	0.129	0.3147	0.0209	-0.0658	-0.0006		
3	44.053	0.0003	0.0209	-0.0665	0.0021	5	2.4545	0	-1.4922	0.0455	0.1027	-0.0956	0.0209	-0.0685	0.0021		
3	44.133	0	0.0209	-0.05	0.0021	5	2.4972	0	-1.6544	0.0464	0.1155	0.3522	0.0209	-0.0496	0.0021		
3	44.144	-0.0011	0.0182	-0.0012	-0.0803	5	2.6255	0	-1.0056	0.0581	0.152	0.1172	0.0182	0.0005	-0.0803		
3	44.155	-0.0006	0.017	0.0151	-0.0915	5	2.6597	0	-0.9407	0.0598	0.1523	0.1007	0.017	0.018	-0.0915		
